video_id,channel_name,title,published_at,view_count,like_count,comment_count
LTj-FTa4Chg,KanalZero,MACIEJ MUSIAŁ POLECA 3 FILMY,2026-05-17T18:30:23Z,12862,64,4
OgEkeiIFVc8,KanalZero,"ATAK NA TOKIO 1945, NALOT GORSZY OD BOMB ATOMOWYCH | BITWY-KAMPANIE-WOJNY",2026-05-17T17:00:32Z,18817,1077,75
ggxNMooO4fM,KanalZero,CZYSTA PROPAGANDA W TVP,2026-05-17T16:40:00Z,163778,2773,311
0sEoBZiM-VY,KanalZero,"INTERWENCJA U PREZYDENTA KRAKOWA: MISZALSKI, BERKOWICZ, REFERENDUM I PROKURATURA (FILM KONFEDERACJI)",2026-05-17T16:00:04Z,66569,4344,588
6UFG9ReGUss,KanalZero,OBALIĆ PREZYDENTA? SCHNEPF I MICHALIK W DEBACIE TVP. WPADKI I JEDNOSTRONNY PRZEKAZ,2026-05-17T15:00:09Z,300432,14687,1846
Aubzj05iNVM,KanalZero,PROKURATURA KRYJE POLICJĘ?,2026-05-17T14:30:14Z,31525,280,12
Wdad3hBLEkA,KanalZero,JAKĄ EMOTKĄ JESTEŚ?,2026-05-17T13:30:27Z,8758,49,0
xLtm7KdHBAo,KanalZero,KOSMICI MIELI URATOWAĆ SŁOWIAN. JAK DZIAŁAŁA POLSKA SEKTA UFO? | ZERO ŚCIEMY #77,2026-05-17T13:01:33Z,63579,1840,308
OgThDNMwvZg,KanalZero,SZOKUJĄCE GŁOSOWANIE POLSKI NA EUROWIZJI,2026-05-17T12:30:35Z,591070,9217,848
RX5dlm6ELhU,KanalZero,SKANDAL? TYLKO POLSKA DAŁA IZRAELOWI 12 PUNKTÓW W FINALE EUROWIZJI,2026-05-17T11:23:20Z,203796,9060,2537
ovkb2Wm97Ms,KanalZero,TAK AI ROBI APLIKACJE,2026-05-17T09:30:23Z,29163,222,7
lXEMnjFJEC0,KanalZero,"POLICJANT ZŁAMAŁ JEJ RĘKĘ, PROKURATURA NADAL UMARZA ŚLEDZTWO",2026-05-17T09:02:05Z,29363,1355,293
COmXY36oEUA,KanalZero,POLICJA NĘKA TELEWIZJĘ REPUBLIKA. NIKT NIE REAGUJE,2026-05-17T08:00:08Z,336283,12330,613
6aoIwGPk8r0,KanalZero,BRYTYJCZYCY MAJĄ DOŚĆ. PROTESTUJĄ PRZECIWKO IMIGRANTOM,2026-05-17T07:30:05Z,217707,8173,469
elZA5RDuu-s,KanalZero,"KONIEC ERY PROGRAMISTÓW, AI TWORZY APLIKACJE - SPRAWDZAMY JAK",2026-05-17T07:00:36Z,62828,1974,881
PR_zz7e4Wck,KanalZero,PISOWSKI MUR BYŁ ZŁY. KOALICYJNY JEST SUPER,2026-05-17T06:30:08Z,88058,2025,90
TbL1emB5itg,KanalZero,KIEROWCA WJECHAŁ W LUDZI. CO BYŁO JEGO MOTYWEM?,2026-05-16T19:20:40Z,394572,6008,808
_E92YF5qifE,KanalZero,BERLING I ŚWIERCZEWSKI KOMUNISTYCZNI GENERAŁOWIE W SŁUŻBIE ZSRR,2026-05-16T18:30:44Z,43513,2416,241
O_Hjcu9pCrE,KanalZero,BRYTYJCZYCY PRZECIWKO MIGRACJI. KILKADZIESIĄT TYSIĘCY LUDZI NA MARSZU W LONDYNIE,2026-05-16T18:05:07Z,217096,8343,1557
yltVYfQhIP4,KanalZero,GONCIARZ WYGRYWA W SĄDZIE,2026-05-16T17:01:11Z,9413,62,0
_xTUo-VGMgM,KanalZero,"LEWANDOWSKI ŻEGNA SIĘ Z BARCELONĄ! TO TERAZ ARABIA, STANY CZY WŁOCHY?",2026-05-16T16:42:23Z,87687,2446,232
ixZEbk9IwAM,KanalZero,DLACZEGO TAJWAŃCZYCY NOSZĄ MASECZKI?,2026-05-16T16:17:47Z,135936,1527,121
9pP_G4Uu4PA,KanalZero,REPUBLIKA NA CELOWNIKU I CISZA W NEWSROOMACH,2026-05-16T15:31:39Z,141450,8710,1395
98F3BFN7LZs,KanalZero,ODNOWA RELACJI USA - CHINY,2026-05-16T15:00:12Z,8372,67,0
yBKmD59yzy0,KanalZero,"ANDRZEJCZAK: TAJWAN, CHINY, USA I NOWA GEOPOLITYCZNA UKŁADANKA",2026-05-16T14:01:21Z,58781,2399,140
