video_id,channel_name,title,published_at,view_count,like_count,comment_count,duration,category_id
6UFG9ReGUss,KanalZero,OBALIĆ PREZYDENTA? SCHNEPF I MICHALIK W DEBACIE TVP. WPADKI I JEDNOSTRONNY PRZEKAZ,2026-05-17T15:00:09Z,308679,14919,1861,PT12M9S,22
Aubzj05iNVM,KanalZero,PROKURATURA KRYJE POLICJĘ?,2026-05-17T14:30:14Z,31826,284,12,PT1M25S,22
Wdad3hBLEkA,KanalZero,JAKĄ EMOTKĄ JESTEŚ?,2026-05-17T13:30:27Z,8817,49,0,PT30S,22
xLtm7KdHBAo,KanalZero,KOSMICI MIELI URATOWAĆ SŁOWIAN. JAK DZIAŁAŁA POLSKA SEKTA UFO? | ZERO ŚCIEMY #77,2026-05-17T13:01:33Z,68103,1958,326,PT25M40S,22
OgThDNMwvZg,KanalZero,SZOKUJĄCE GŁOSOWANIE POLSKI NA EUROWIZJI,2026-05-17T12:30:35Z,656926,10044,886,PT1M2S,22
RX5dlm6ELhU,KanalZero,SKANDAL? TYLKO POLSKA DAŁA IZRAELOWI 12 PUNKTÓW W FINALE EUROWIZJI,2026-05-17T11:23:20Z,205463,9112,2550,PT11M24S,22
ovkb2Wm97Ms,KanalZero,TAK AI ROBI APLIKACJE,2026-05-17T09:30:23Z,29914,225,7,PT1M38S,22
lXEMnjFJEC0,KanalZero,"POLICJANT ZŁAMAŁ JEJ RĘKĘ, PROKURATURA NADAL UMARZA ŚLEDZTWO",2026-05-17T09:02:05Z,29675,1373,299,PT10M50S,22
COmXY36oEUA,KanalZero,POLICJA NĘKA TELEWIZJĘ REPUBLIKA. NIKT NIE REAGUJE,2026-05-17T08:00:08Z,344574,12504,620,PT1M25S,22
6aoIwGPk8r0,KanalZero,BRYTYJCZYCY MAJĄ DOŚĆ. PROTESTUJĄ PRZECIWKO IMIGRANTOM,2026-05-17T07:30:05Z,222459,8230,472,PT51S,22
elZA5RDuu-s,KanalZero,"KONIEC ERY PROGRAMISTÓW, AI TWORZY APLIKACJE - SPRAWDZAMY JAK",2026-05-17T07:00:36Z,64671,2024,908,PT17M12S,22
PR_zz7e4Wck,KanalZero,PISOWSKI MUR BYŁ ZŁY. KOALICYJNY JEST SUPER,2026-05-17T06:30:08Z,88746,2034,90,PT35S,22
TbL1emB5itg,KanalZero,KIEROWCA WJECHAŁ W LUDZI. CO BYŁO JEGO MOTYWEM?,2026-05-16T19:20:40Z,476849,6763,869,PT31S,22
_E92YF5qifE,KanalZero,BERLING I ŚWIERCZEWSKI KOMUNISTYCZNI GENERAŁOWIE W SŁUŻBIE ZSRR,2026-05-16T18:30:44Z,45228,2491,250,PT1H20M12S,22
O_Hjcu9pCrE,KanalZero,BRYTYJCZYCY PRZECIWKO MIGRACJI. KILKADZIESIĄT TYSIĘCY LUDZI NA MARSZU W LONDYNIE,2026-05-16T18:05:07Z,221689,8456,1564,PT14M18S,22
yltVYfQhIP4,KanalZero,GONCIARZ WYGRYWA W SĄDZIE,2026-05-16T17:01:11Z,9482,62,0,PT1M,22
_xTUo-VGMgM,KanalZero,"LEWANDOWSKI ŻEGNA SIĘ Z BARCELONĄ! TO TERAZ ARABIA, STANY CZY WŁOCHY?",2026-05-16T16:42:23Z,88791,2466,233,PT12M33S,22
ixZEbk9IwAM,KanalZero,DLACZEGO TAJWAŃCZYCY NOSZĄ MASECZKI?,2026-05-16T16:17:47Z,138870,1579,124,PT1M56S,22
9pP_G4Uu4PA,KanalZero,REPUBLIKA NA CELOWNIKU I CISZA W NEWSROOMACH,2026-05-16T15:31:39Z,142594,8739,1396,PT16M47S,22
98F3BFN7LZs,KanalZero,ODNOWA RELACJI USA - CHINY,2026-05-16T15:00:12Z,8423,68,0,PT1M,22
yBKmD59yzy0,KanalZero,"ANDRZEJCZAK: TAJWAN, CHINY, USA I NOWA GEOPOLITYCZNA UKŁADANKA",2026-05-16T14:01:21Z,59689,2437,141,PT21M29S,22
NNgAXFeQu6Q,KanalZero,KANAŁ NIE WIEM ALE SIĘ DOWIEM ZOSTAŁ PRZEJĘTY?,2026-05-16T13:45:05Z,54952,366,104,PT2M23S,22
