video_id,channel_name,title,published_at,view_count,like_count,comment_count,duration,duration_seconds,category_id
VvhVL2jOdro,Imponderabilia,"Wojciech Engelking: Patointeligencja rodem z PRL, wielka miłość i Warszawa pełna szpiegów.",2021-03-09T16:00:14Z,60498,915,97,PT2H14M26S,8066,22
HndAz0gqDFU,Imponderabilia,Robert Makłowicz: nie tylko koperek,2021-03-07T16:06:33Z,1719318,34345,2644,PT2H3M35S,7415,22
FY4nNNzkoU0,Imponderabilia,"Katarzyna Miller jak nikt opowiada o życiu, miłości i związkach.",2021-03-03T17:00:15Z,783472,14167,880,PT2H15M2S,8102,22
_Hi_qdjh7I0,Imponderabilia,Jankes o tym jak ratował ofiarę wypadku i prawie został dawcą!,2021-02-25T16:00:16Z,57292,1454,126,PT1H7M31S,4051,22
Su_vpAeeu-I,Imponderabilia,Dawid Myśliwiec nikogo nie masakruje. Tym razem rozmawiamy na serio.,2021-02-21T16:00:12Z,125970,5399,436,PT2H37M39S,9459,22
8W3VkA1RLRw,Imponderabilia,"Mateusz Kusznierewicz szczerze o sukcesach i porażkach w żeglarstwie, oraz biznesie.",2021-02-18T16:00:16Z,31544,767,69,PT1H20M35S,4835,22
lOcRaDBLcZk,Imponderabilia,"Wszystkie twarze Margaret: od ciągłych imprez, po życie w lesie",2021-02-14T16:00:17Z,164807,3726,353,PT1H4M20S,3860,10
ybLx0kRNmKc,Imponderabilia,Jacek Żakowski: W TVP już nie ma dziennikarzy.,2021-02-11T17:00:14Z,165078,4736,925,PT1H41M5S,6065,25
M86aqxlcZMA,Imponderabilia,Kwiat Jabłoni udziela jedynego tak szczerego wywiadu i gra mini koncert!,2021-02-07T16:00:11Z,514306,14812,741,PT1H59M25S,7165,10
O_HMD2nkwAw,Imponderabilia,"Małgorzata Halber: miłość, pieprzenie, feminizm.",2021-02-03T16:00:15Z,129598,3225,838,PT2H26M35S,8795,22
B0HI8mP6F_Y,Imponderabilia,Andrzej Duda go ułaskawił. Jan Śpiewak nadal walczy z politykami.,2021-01-30T16:00:10Z,283299,6791,1077,PT2H35M58S,9358,25
onymPx_YhPk,Imponderabilia,Andrzej Chyra opowiada o perwersjach w polityce i filmie.,2021-01-27T16:00:10Z,81155,1724,130,PT1H37M8S,5828,22
7feM0rr_6cA,Imponderabilia,"Przemek Kossakowski: ""Mogłem w każdej chwili zrezygnować""",2021-01-24T16:00:11Z,431396,9063,417,PT1H37M50S,5870,22
Y5APFo5BSEM,Imponderabilia,"Jeśli się kochać, to tylko w Brazylii! Hanna Zborowska-Neves",2021-01-19T16:00:10Z,36842,1334,123,PT44M39S,2679,22
Oc7i4P_WmUA,Imponderabilia,"Kto tak naprawdę rządzi światem, czyli teorie spiskowe w praktyce. Tomasz Stawiszyński",2021-01-17T15:00:11Z,496970,6415,1299,PT2H46M38S,9998,22
qpMftjnCMl8,Imponderabilia,Fotowoltaika: czy to się opłaca? Czego nam nie mówią? Kamil Sankowski,2021-01-14T15:09:37Z,47075,1173,307,PT1H10M47S,4247,22
1s324rSwGPE,Imponderabilia,"Od strajku kobiet, przez dietę i terapię aż po koronawirusa. 2020 z Red Lipstick Monster!",2021-01-10T15:00:09Z,220210,4307,570,PT2H32M12S,9132,22
QgASfmjsTPo,Imponderabilia,Martin Stankiewicz się skończył.,2021-01-01T15:00:09Z,150947,3968,220,PT2H21M59S,8519,22
49nfJSg7sfg,Imponderabilia,Życie po odejściu z Kościoła. Jola Szymańska,2020-12-27T15:00:10Z,917577,17968,4168,PT2H38M33S,9513,22
czAxfnrlUWU,Imponderabilia,"Gdziebądź: Kiedyś Jakuck, w tym roku Cypr i Islandia - jak podróżować podczas pandemii?",2020-12-21T15:35:44Z,121179,2797,286,PT2H21M52S,8512,22
AeiQTMCo7HA,Imponderabilia,Czy naukowiec może wierzyć w Boga? Neil deGrasse Tyson,2020-12-20T09:00:11Z,211850,12480,940,PT58M13S,3493,27
W6JtNJC1d1Y,Imponderabilia,Czesław Mozil szczerze o zarobionych i wydanych pieniądzach,2020-12-17T15:43:56Z,85530,2342,146,PT1H34M12S,5652,22
SqjPI--siXw,Imponderabilia,"Od CoD: Warzone po Fortnite - Leh szczerze o turniejach, cheaterach i pieniądzach w gamingu.",2020-12-10T15:51:01Z,38274,2298,193,PT1H7M37S,4057,20
90MkoL3DqG0,Imponderabilia,"Najmłodszy Mistrz Polski w rajdach - Miko Marczyk: To początek, chcę zdobywać tytuły za granicą.",2020-12-08T18:18:56Z,23897,806,64,PT1H18M3S,4683,22
Flyz6t58ekM,Imponderabilia,"Kurasiński: Byliśmy milionerami za kasę z UE, choć tak naprawdę byliśmy śmieszni.",2020-12-04T14:04:03Z,65288,1396,184,PT2H33M51S,9231,22
pE-7Q23xTh0,Imponderabilia,"Anita Werner o pracy w Faktach, dociskaniu polityków i piłce nożnej, która zmienia świat",2020-12-02T16:37:04Z,72534,1792,175,PT1H19M1S,4741,25
6HfQqYC9yp8,Imponderabilia,"Paweł Domagała o sukcesie “Weź nie pytaj”: doceniłem to po czasie. Teraz czas na “Wracaj""",2020-11-29T15:48:37Z,34454,1428,86,PT1H4M24S,3864,10
dNUI2lV4RSQ,Imponderabilia,"Kto stoi za Strajkiem Kobiet, co dalej z protestami, czy dymisja rządu jest możliwa? Nadia Oleszczuk",2020-11-26T15:20:23Z,100921,2701,1989,PT1H29M57S,5397,22
MwVnYLWSEqI,Imponderabilia,"Michał Piróg mówi co zrobić, żebyśmy nie zginęli pod plastikiem. O ekologii i depozycie dla natury.",2020-11-18T15:58:59Z,90911,3053,618,PT1H24M48S,5088,22
dOOSbJkW8VM,Imponderabilia,"Chmielarz opowiada o protestach Strajku Kobiet, swojej drodze jako pisarza i  najnowszej książce.",2020-11-12T15:06:01Z,55407,1324,137,PT1H27M26S,5246,22
--Jn_OZWQls,Imponderabilia,"Czy tworzenie gier, to praca marzeń? Patryk Polewiak opowiada o swojej książce.",2020-11-05T15:53:44Z,85631,2874,203,PT1H21M12S,4872,22
eOQa2aWDzlI,Imponderabilia,Mózg rozje*any. Co wie o nas Facebook i jak się zabezpieczyć? Chris Wylie o Cambridge Analytica.,2020-11-02T15:32:20Z,105156,3277,298,PT1H5M23S,3923,22
PbaI3n0OhK0,Imponderabilia,STRAJK KOBIET,2020-10-28T16:01:57Z,211902,17844,1597,PT25M22S,1522,25
iOJltKTHyiM,Imponderabilia,Krzysztof Zalewski: rock'n'roll nie pozwala milczeć w sprawach najważniejszych.,2020-10-25T15:31:54Z,155026,4052,416,PT1H8M14S,4094,22
MzOrAq0OH34,Imponderabilia,"Maleńczuk: zawsze mówiłem, że Polacy są  ̶f̶a̶s̶z̶y̶s̶t̶a̶m̶i̶.",2020-10-22T14:22:41Z,411809,9328,1987,PT1H3M45S,3825,22
YCD_GpQaFNg,Imponderabilia,"Pokazał protesty w Białorusi od środka. Kuba Górnicki o Białorusi, COVID-19 i dziadostwie TVP",2020-10-18T16:35:54Z,67458,1891,159,PT2H14M37S,8077,22
zecqXQpJSTs,Imponderabilia,Ćwiczenia online podczas pandemii. Sposób na formę w trakcie lockdownu według Bartka Nowaka.,2020-10-15T15:07:21Z,24758,646,52,PT51M38S,3098,22
JWMxO61MBDo,Imponderabilia,"Natalia Kukulska i jej czułe struny. Pokochać Chopina, Colliera i Culluma.",2020-10-13T16:49:52Z,108030,3635,222,PT1H25M2S,5102,10
KWLnvQ80eFg,Imponderabilia,"Holland o: koronawirusie, który niszczy kino, Szarlatanie, #MeToo i Romanie Polańskim",2020-10-07T14:45:00Z,86731,2579,377,PT1H8M15S,4095,22
6dDRVWljg3I,Imponderabilia,Mishon szczerze opowiada o życiu prywatnym i swojej karierze.,2020-10-04T15:00:01Z,91575,3698,262,PT1H53M8S,6788,22
H5inXzPnQ_s,Imponderabilia,"Jak stworzyć biznes, który przetrwa 100 lat i pozostanie liderem? Historia i nowoczesność Wedla.",2020-10-01T13:58:17Z,68291,986,112,PT1H34M46S,5686,22
_Ju0j21x4v8,Imponderabilia,Jak zmienić swoje życie intymne na lepsze? Marta Niedźwiecka o tym jak być głośnym w łóżku.,2020-09-27T14:55:39Z,581430,11717,730,PT1H35M17S,5717,27
ohSuz_pEJVA,Imponderabilia,"Paweł Wilczak szczerze o tym co go wkurza, co mu dały reklamy i czy seriale mogą tłumaczyć świat?",2020-09-20T14:56:00Z,129208,3180,362,PT1H10M43S,4243,22
y6MMuRSyRYo,Imponderabilia,Pokazał jak wygląda pandemia w Polsce. Przeszedł COVID-19. Rozmawiał z Szumowskim - Paweł Kapusta,2020-09-10T15:02:59Z,173610,2356,437,PT1H15M48S,4548,22
cBMl65B61X8,Imponderabilia,Czy po tym filmie zjesz jeszcze mięso? Bartek Sabela opowiada o sytuacji zwierząt w Polsce.,2020-09-09T14:54:13Z,145542,4489,952,PT2H10M24S,7824,22
HHbx_sd36J0,Imponderabilia,Zuzanna Rudzińska-Bluszcz - czy zastąpi Bodnara i będzie nową Rzeczniczką Praw Obywatelskich?,2020-09-07T15:00:03Z,37839,1786,130,PT1H13M40S,4420,25
_CpbZBCtHLQ,Imponderabilia,"Beata Kozidrak szczerze i bez ciśnień o: #hot16challenge2, romansie z rapem, oraz Lech Music",2020-08-26T15:19:49Z,146074,4445,384,PT45M26S,2726,10
t-OuEYqFgN0,Imponderabilia,Zarabiaj pieniądze sprzątając świat! Biznes Przemka Pyziela z Planet Heroes.,2020-08-25T16:15:34Z,35347,1308,109,PT55M35S,3335,27
rD22OJ-EQdU,Imponderabilia,Ile zarobiłem? Czy żałuję rozmowy z Dudą? Która była najlepsza? 2 urodziny Imponderabilia!,2020-08-16T15:51:01Z,289431,13186,823,PT39M48S,2388,22
G0cnUae-nfc,Imponderabilia,Miłoszewski: Chcę dwóch rzeczy: żeby moje dzieci były zdrowe i żeby PiS przegrał wybory.,2020-08-10T16:27:34Z,105345,2626,369,PT1H54M35S,6875,22
1Tc3v6SrfPU,Imponderabilia,"Popek szczerze o: Stiflerze, Fame MMA 7, dragach, Gangu Albanii i swojej przyszłości",2020-08-02T18:45:11Z,471292,11404,910,PT57M53S,3473,22
