video_id,channel_name,title,published_at,view_count,like_count,comment_count,duration,duration_seconds,category_id
ss8g0WShKVc,Patec,NIE WIEDZIAŁ GDZIE LECI! (JEGO MARZENIE),2023-11-15T14:01:58Z,420910,19859,185,PT23M43S,1423,24
HXtjhhmNmUo,Patec,NAJLEPSZA RESTAURACJA na ŚWIECIE!,2023-10-28T13:00:14Z,837568,40147,401,PT30M23S,1823,24
109gqnLZ0aY,Patec,DERBY MEDELLIN (poszliśmy na obcą trybunę :(),2023-10-25T13:05:38Z,289709,12828,201,PT14M32S,872,24
BVAf6NCjep0,Patec,Śladami PABLO ESC0BARA,2023-10-22T13:00:14Z,1099514,35826,501,PT35M26S,2126,24
cEaUyG6EFBE,Patec,ODWIEDZIŁEM byłą STOLICĘ MORDEꓤSꓕW,2023-10-19T13:04:49Z,563055,19206,286,PT26M25S,1585,24
SKlqqeDB5lc,Patec,NAJNIEBEZPIECZNIEJSZE MIASTO w KOLUMBII,2023-10-16T13:00:18Z,582650,21020,317,PT21M6S,1266,24
hLac_eXB6F4,Patec,MINUSY TANIEGO PODRÓŻOWANIA,2023-10-13T13:00:37Z,719889,22459,405,PT34M7S,2047,24
Cy_EQcbFW7U,Patec,NIESPOTYKANE SMAKI PERUWIAŃSKIEJ KUCHNI,2023-10-10T13:00:09Z,341216,13046,190,PT25M33S,1533,24
y2xOdUjxe5Y,Patec,DOPADŁA MNIE CHOROBA WYSOKOŚCIOWA...,2023-10-07T13:00:48Z,371063,16207,211,PT20M12S,1212,24
jLzLo2v4wS0,Patec,NOC w NAJWYŻSZYM DOMKU NA DRZEWIE,2023-10-04T13:00:39Z,744226,22020,321,PT34M26S,2066,24
bfJku4kIdhY,Patec,NIE WYPŁACĘ SIĘ Z TEGO WYJAZDU,2023-10-01T13:00:27Z,563861,25203,281,PT23M18S,1398,24
dauIugW3FF0,Patec,72H w AMAZOŃSKIEJ DŻUNGLI,2023-09-28T13:00:24Z,444553,23379,328,PT32M45S,1965,24
rKJMoVFKSSA,Patec,ZŁAPAŁEM PIERWSZEGO KAJMANA!,2023-09-25T13:00:46Z,629319,24765,360,PT35M6S,2106,24
SO4LF5QGiUY,Patec,Weszliśmy do DŻUNGLI,2023-09-22T13:00:24Z,629027,32584,384,PT22M48S,1368,24
xAx9ddETI8Q,Patec,PIERWSZY DZIEŃ W AMAZONII,2023-09-19T13:00:52Z,1418090,42935,564,PT35M7S,2107,24
H9aT5cpJzzE,Patec,SPĘDZIŁEM 30 DNI w AMERYCE POŁUDNIOWEJ,2023-09-16T13:01:10Z,1109020,56758,732,PT35M3S,2103,24
mFB6GNGb1_8,Patec,Co po Ironmanie?? - Q&A,2023-09-02T13:00:35Z,333578,14988,204,PT22M54S,1374,24
